Date1,State,Imported Cases,Local Cases,Total Cases,Date
1-Jul,Pahang,0,195,195,1-Jul
1-Jul,Perak,0,149,149,1-Jul
1-Jul,Perlis,0,1,1,1-Jul
1-Jul,Penang,0,174,174,1-Jul
1-Jul,Sabah,0,232,232,1-Jul
1-Jul,Sarawak,2,544,546,1-Jul
1-Jul,Selangor,2,2885,2887,1-Jul
1-Jul,Terengganu,0,50,50,1-Jul
1-Jul,Federal Territory of Kuala Lumpur,0,988,988,1-Jul
1-Jul,Federal Territory of Labuan,0,129,129,1-Jul
1-Jul,Federal Territory of Putrajaya,0,10,10,1-Jul
2-Jul,Johor,0,517,517,2-Jul
2-Jul,Kedah,0,257,257,2-Jul
2-Jul,Kelantan,0,129,129,2-Jul
2-Jul,Melaka,0,202,202,2-Jul
2-Jul,Negeri Sembilan,1,606,607,2-Jul
2-Jul,Pahang,0,329,329,2-Jul
2-Jul,Perak,0,182,182,2-Jul
2-Jul,Perlis,0,0,0,2-Jul
2-Jul,Penang,0,351,351,2-Jul
2-Jul,Sabah,0,230,230,2-Jul
2-Jul,Sarawak,0,440,440,2-Jul
2-Jul,Selangor,1,2907,2908,2-Jul
2-Jul,Terengganu,0,44,44,2-Jul
2-Jul,Federal Territory of Kuala Lumpur,1,637,638,2-Jul
2-Jul,Federal Territory of Labuan,0,131,131,2-Jul
2-Jul,Federal Territory of Putrajaya,0,20,20,2-Jul
3-Jul,Johor,2,414,416,3-Jul
3-Jul,Kedah,0,145,145,3-Jul
3-Jul,Kelantan,0,89,89,3-Jul
3-Jul,Melaka,0,345,345,3-Jul
3-Jul,Negeri Sembilan,0,699,699,3-Jul
3-Jul,Pahang,0,200,200,3-Jul
3-Jul,Perak,0,101,101,3-Jul
3-Jul,Perlis,0,2,2,3-Jul
3-Jul,Penang,0,142,142,3-Jul
3-Jul,Sabah,0,322,322,3-Jul
3-Jul,Sarawak,0,361,361,3-Jul
3-Jul,Selangor,2,3047,3049,3-Jul
3-Jul,Terengganu,0,51,51,3-Jul
3-Jul,Federal Territory of Kuala Lumpur,7,616,623,3-Jul
3-Jul,Federal Territory of Labuan,0,108,108,3-Jul
3-Jul,Federal Territory of Putrajaya,0,16,16,3-Jul
4-Jul,Johor,1,500,501,4-Jul
4-Jul,Kedah,0,332,332,4-Jul
4-Jul,Kelantan,0,124,124,4-Jul
4-Jul,Melaka,0,290,290,4-Jul
4-Jul,Negeri Sembilan,0,531,531,4-Jul
4-Jul,Pahang,0,95,95,4-Jul
4-Jul,Perak,0,384,384,4-Jul
4-Jul,Perlis,0,0,0,4-Jul
4-Jul,Penang,0,173,173,4-Jul
4-Jul,Sabah,0,228,228,4-Jul
4-Jul,Sarawak,0,365,365,4-Jul
4-Jul,Selangor,0,2262,2262,4-Jul
4-Jul,Terengganu,0,54,54,4-Jul
4-Jul,Federal Territory of Kuala Lumpur,19,616,635,4-Jul
4-Jul,Federal Territory of Labuan,0,75,75,4-Jul
4-Jul,Federal Territory of Putrajaya,0,16,16,4-Jul
5-Jul,Johor,1,324,325,5-Jul
5-Jul,Kedah,0,273,273,5-Jul
5-Jul,Kelantan,0,114,114,5-Jul
5-Jul,Melaka,0,206,206,5-Jul
5-Jul,Negeri Sembilan,0,523,523,5-Jul
5-Jul,Pahang,0,312,312,5-Jul
5-Jul,Perak,0,249,249,5-Jul
5-Jul,Perlis,0,0,0,5-Jul
